epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
105,3289.16,0.88095,0.80479,1.21714,0.81648,0.74464,0.81122,0.58052,1.07605,0.7902,1.47531,0.000808828,0.000808828,0.000808828
106,3321.55,0.91357,0.71036,1.2468,0.83261,0.79988,0.81817,0.57444,1.0848,0.79683,1.51468,0.000800577,0.000800577,0.000800577
107,3352.12,0.89662,0.69513,1.24057,0.72924,0.81776,0.81173,0.57086,1.07288,0.82527,1.48628,0.000792325,0.000792325,0.000792325
108,3383.54,0.91985,0.67478,1.25047,0.8102,0.76956,0.81184,0.57211,1.09763,0.74171,1.50748,0.000784073,0.000784073,0.000784073
109,3414.39,0.86907,0.68032,1.19301,0.84089,0.79695,0.84085,0.57287,1.06677,0.73949,1.4723,0.000775822,0.000775822,0.000775822
110,3441.23,0.88815,0.70941,1.25062,0.82873,0.80299,0.84155,0.59249,1.06407,0.71416,1.48314,0.00076757,0.00076757,0.00076757
111,3470.08,0.90247,0.69234,1.22216,0.77191,0.79614,0.80254,0.56624,1.05383,0.77558,1.45653,0.000759318,0.000759318,0.000759318
112,3500.78,0.90329,0.70209,1.24872,0.77899,0.74901,0.79544,0.57241,1.06348,0.78965,1.46804,0.000751067,0.000751067,0.000751067
113,3531.32,0.9014,0.66982,1.24369,0.73513,0.80984,0.82672,0.58335,1.06226,0.72799,1.49149,0.000742815,0.000742815,0.000742815
114,3564.63,0.92014,0.73078,1.24251,0.80994,0.73703,0.81919,0.58686,1.06144,0.70406,1.47798,0.000734564,0.000734564,0.000734564
115,3594.4,0.857,0.70986,1.20882,0.82846,0.82327,0.83474,0.59592,1.03099,0.70765,1.45498,0.000726312,0.000726312,0.000726312
116,3623.66,0.86801,0.66828,1.23167,0.82737,0.79456,0.84816,0.5892,1.03652,0.6952,1.4519,0.00071806,0.00071806,0.00071806
117,3649.64,0.87627,0.64658,1.20541,0.78039,0.81175,0.82781,0.58871,1.04195,0.72907,1.46677,0.000709809,0.000709809,0.000709809
118,3679.24,0.89401,0.67047,1.22642,0.80084,0.79668,0.85133,0.57863,1.03092,0.74183,1.45267,0.000701557,0.000701557,0.000701557
119,3709.74,0.8665,0.67507,1.19793,0.76362,0.75837,0.81505,0.5701,1.0456,0.7379,1.46375,0.000693305,0.000693305,0.000693305
120,3740.14,0.8465,0.64381,1.21021,0.77575,0.83039,0.83763,0.59278,1.04674,0.72078,1.49559,0.000685054,0.000685054,0.000685054
121,3770.49,0.85517,0.6416,1.19046,0.76847,0.83611,0.82483,0.58054,1.11077,0.75107,1.5514,0.000676802,0.000676802,0.000676802
122,3799.73,0.82177,0.62562,1.17839,0.76583,0.8076,0.81102,0.56663,1.03681,0.72865,1.48124,0.00066855,0.00066855,0.00066855
123,3827.21,0.85042,0.6455,1.2007,0.79965,0.79119,0.81614,0.57059,1.05166,0.74629,1.47986,0.000660299,0.000660299,0.000660299
124,3856.01,0.8526,0.6226,1.20826,0.79644,0.75586,0.8064,0.58459,1.0603,0.73531,1.51356,0.000652047,0.000652047,0.000652047
125,3886.11,0.84858,0.64882,1.18059,0.8001,0.78929,0.82195,0.57374,1.06909,0.74125,1.51766,0.000643795,0.000643795,0.000643795
126,3914.61,0.85114,0.65608,1.20802,0.76611,0.86127,0.8345,0.58996,1.05862,0.69553,1.51602,0.000635544,0.000635544,0.000635544
127,3944.54,0.83385,0.627,1.19296,0.83351,0.88583,0.88946,0.61164,1.04508,0.67122,1.48343,0.000627292,0.000627292,0.000627292
128,3976.66,0.80782,0.61405,1.18299,0.81685,0.85753,0.87159,0.60623,1.05285,0.72671,1.48479,0.00061904,0.00061904,0.00061904
129,4002.99,0.81114,0.6026,1.17223,0.76749,0.82381,0.82229,0.5869,1.00787,0.73029,1.48946,0.000610789,0.000610789,0.000610789
130,4031.54,0.8239,0.61046,1.18743,0.84686,0.75586,0.83875,0.58726,1.05818,0.77266,1.50257,0.000602537,0.000602537,0.000602537
131,4060.11,0.80453,0.62068,1.18858,0.7794,0.81696,0.79762,0.56172,1.06055,0.7719,1.50765,0.000594286,0.000594286,0.000594286
132,4089.96,0.80655,0.59912,1.16105,0.83069,0.8158,0.84035,0.5866,1.09966,0.69876,1.54235,0.000586034,0.000586034,0.000586034
133,4118.09,0.78307,0.59748,1.14826,0.79209,0.79695,0.82216,0.59048,1.03908,0.70651,1.49558,0.000577782,0.000577782,0.000577782
134,4143.18,0.86373,0.65161,1.20402,0.80221,0.76838,0.82387,0.58696,1.06142,0.72393,1.5,0.000569531,0.000569531,0.000569531
135,4172.03,0.77765,0.58439,1.16599,0.81788,0.77938,0.81087,0.58605,1.02182,0.72349,1.49552,0.000561279,0.000561279,0.000561279
136,4202.57,0.80365,0.62873,1.16816,0.78565,0.84141,0.82649,0.58061,1.04939,0.75807,1.52677,0.000553027,0.000553027,0.000553027
137,4232.16,0.79831,0.59473,1.18036,0.85675,0.78875,0.83312,0.58695,1.02761,0.71487,1.50928,0.000544776,0.000544776,0.000544776
138,4262.04,0.77919,0.58434,1.17288,0.83662,0.79464,0.85423,0.59669,1.0234,0.71914,1.51003,0.000536524,0.000536524,0.000536524
139,4289.97,0.79923,0.61279,1.17111,0.84092,0.80984,0.84923,0.59054,1.03156,0.72196,1.51247,0.000528272,0.000528272,0.000528272
140,4319.71,0.77374,0.5707,1.14282,0.82087,0.83066,0.84108,0.59331,1.02685,0.73083,1.46856,0.000520021,0.000520021,0.000520021
141,4349.45,0.80061,0.60583,1.1621,0.80525,0.85067,0.83267,0.59714,1.05773,0.75176,1.496,0.000511769,0.000511769,0.000511769
142,4379.69,0.78008,0.59379,1.1535,0.79859,0.8504,0.82215,0.58587,1.01836,0.73388,1.45906,0.000503517,0.000503517,0.000503517
143,4408.48,0.77196,0.55956,1.15727,0.8423,0.78298,0.83551,0.59465,1.03794,0.73361,1.48552,0.000495266,0.000495266,0.000495266
144,4438.39,0.73144,0.53384,1.11416,0.8427,0.76929,0.83588,0.58524,1.04449,0.74668,1.49883,0.000487014,0.000487014,0.000487014
145,4461.98,0.76721,0.54972,1.14385,0.82197,0.78337,0.83016,0.58574,1.04268,0.76368,1.51736,0.000478762,0.000478762,0.000478762
146,4493.61,0.76513,0.58203,1.17097,0.77804,0.79738,0.80305,0.58771,1.06062,0.7162,1.55442,0.000470511,0.000470511,0.000470511
147,4521.74,0.78072,0.58745,1.14219,0.80167,0.79196,0.81879,0.5909,1.03548,0.73003,1.53608,0.000462259,0.000462259,0.000462259
148,4550.03,0.78235,0.58249,1.17328,0.86954,0.78414,0.86223,0.60066,1.02947,0.71703,1.52758,0.000454007,0.000454007,0.000454007
149,4581.86,0.7621,0.55498,1.14841,0.85781,0.79176,0.84904,0.59308,1.03324,0.72165,1.49683,0.000445756,0.000445756,0.000445756
150,4606.3,0.76501,0.60821,1.13387,0.86173,0.78242,0.86039,0.60491,1.01355,0.70607,1.49034,0.000437504,0.000437504,0.000437504
151,4635.37,0.73174,0.53765,1.13259,0.83057,0.83039,0.84848,0.60434,1.03528,0.69333,1.5154,0.000429253,0.000429253,0.000429253
152,4665.28,0.80485,0.60058,1.18231,0.84732,0.82327,0.8564,0.60067,1.05589,0.69541,1.55084,0.000421001,0.000421001,0.000421001
153,4696.26,0.73273,0.5439,1.12201,0.8207,0.83012,0.85119,0.61173,1.03038,0.71886,1.50331,0.000412749,0.000412749,0.000412749
154,4725.41,0.70927,0.51236,1.10508,0.83341,0.81038,0.85716,0.61286,1.02693,0.69863,1.49086,0.000404498,0.000404498,0.000404498
155,4750.65,0.71374,0.5079,1.11272,0.85675,0.80753,0.84842,0.60859,1.00196,0.71078,1.50364,0.000396246,0.000396246,0.000396246
156,4778.8,0.73809,0.53507,1.13354,0.84736,0.77859,0.82957,0.59341,1.01902,0.73558,1.54475,0.000387994,0.000387994,0.000387994
157,4805.1,0.72375,0.53345,1.10993,0.85284,0.83556,0.83879,0.58528,1.04353,0.73377,1.52296,0.000379743,0.000379743,0.000379743
